#{"t_start": 1785871051.1098237, "env_id": "None"}
r,l,t
51.116661,7,124.785295
49.961839,5,124.87327
50.118153,5,124.977939
51.363575,7,125.117801
50.979188,6,125.204406
50.883672,7,125.332443
49.810781,5,125.512331
52.432339,6,125.641762
49.813799,5,125.752754
50.983654,6,125.874189
49.797756,5,126.059492
50.945567,6,126.168794
50.051814,5,126.283637
49.964874,5,126.427039
51.150816,6,126.547595
49.934453,5,126.707308
51.174628,6,126.921161
51.142822,7,127.14966
51.649517,7,127.282744
52.594138,6,127.412739
50.923009,6,127.533088
51.022157,6,127.654038
52.817817,6,127.772361
50.011659,5,127.927861
51.518322,6,128.130309
52.469549,6,128.245459
50.037927,5,128.331669
50.181,5,128.418534
51.49352,7,128.648067
50.981145,6,128.73327
51.345323,7,128.865246
50.912062,6,128.991716
50.72086,5,129.153021
50.630295,7,129.414023
49.876406,5,129.510666
50.059099,5,129.74593
50.12106,5,129.915579
49.833877,5,130.037253
51.84948,6,130.170678
50.79648,7,130.423051
52.462293,6,130.619367
51.61283,7,130.751429
52.477943,6,130.875917
50.908563,6,130.987443
52.503274,6,131.109434
51.695485,7,131.343883
49.896036,5,131.572794
50.895594,6,131.698675
49.976665,5,131.79933
51.216182,6,132.011167
51.257747,7,132.14427
50.330362,5,132.334621
50.936268,6,132.444126
51.583816,7,132.581849
50.077995,5,132.699076
51.150335,6,132.783977
49.909204,5,132.937184
50.468933,5,133.150298
50.669106,7,133.403209
50.60921,5,133.501867
50.890834,6,133.610745
50.338313,5,133.698583
50.333248,5,133.800279
50.969935,6,133.911958
51.100699,7,134.139773
50.932311,6,134.262652
49.821635,5,134.386836
49.870948,5,134.61576
50.268577,5,134.787093
49.920399,5,134.881252
50.964292,6,135.004422
51.439917,7,135.238367
50.242764,5,135.340504
-12.542054,6,135.562249
52.856988,6,135.764039
51.72501,6,135.89524
50.942076,6,136.011477
51.523143,6,136.133377
51.020496,6,136.22105
50.899436,6,136.329832
50.618325,7,136.471283
52.376719,6,136.590819
52.386476,6,136.723867
51.157942,6,136.858065
51.98138,6,137.074653
50.951331,6,137.184832
50.641053,5,137.400118
50.497068,5,137.639096
51.062345,5,137.798198
50.155874,5,137.949428
49.933124,5,138.103813
51.135382,6,138.314182
50.006521,5,138.476892
51.462448,7,138.614314
50.112385,5,138.804924
50.133951,5,138.981202
49.838106,5,139.149476
51.025812,7,139.287299
50.888422,7,139.425694
51.051854,7,139.669591
50.252361,5,139.774109
50.960329,6,139.893893
49.863196,5,139.990029
50.970085,6,140.101671
50.179635,5,140.265028
51.129115,6,140.388474
49.982858,5,140.625818
50.057264,5,140.71096
50.147408,5,140.856156
49.864786,5,140.967312
50.393375,5,141.06997
49.950381,5,141.240324
49.846139,5,141.333015
50.72213,7,141.561673
51.32257,7,141.702507
49.861768,5,141.927822
50.003333,5,142.090091
51.428003,7,142.269356
51.613878,7,142.497238
51.654533,5,142.825325
51.016687,6,142.944522
51.521332,7,143.073264
49.00609,5,143.182617
50.908381,6,143.299896
51.121506,6,143.430349
50.137149,5,143.539019
50.870187,6,143.648713
50.491494,5,143.877724
49.852512,5,144.024601
52.747706,6,144.221906
51.592296,6,144.356243
50.696775,7,144.499969
49.92434,5,144.59601
49.867818,5,144.777902
49.947678,5,144.934439
51.335545,6,145.05482
53.023605,6,145.175995
50.623788,7,145.319464
50.892335,6,145.440124
50.0638,5,145.528264
51.344029,6,145.645427
51.114046,7,145.895044
49.922417,5,145.991216
50.097696,5,146.262592
51.271818,7,146.402862
50.359521,7,146.543102
49.951925,5,146.645251
49.789673,5,146.755781
51.538771,6,146.929168
49.903964,5,147.013246
50.900116,6,147.146616
50.868251,6,147.275549
50.910685,6,147.399893
50.154685,5,147.495555
50.900755,6,147.612274
49.861239,5,147.744771
50.457939,5,147.963192
51.645065,6,148.175548
51.103752,7,148.310624
51.448878,7,148.543838
50.931881,7,148.68108
50.94062,6,148.808257
50.937531,6,148.933299
49.968611,5,149.098699
51.118877,6,149.223312
49.850012,5,149.32104
51.220174,6,149.494295
51.438221,7,149.723704
50.094093,5,149.96304
51.182917,7,150.207133
50.92976,6,150.292739
51.919809,6,150.514136
50.013321,5,150.744358
49.91455,5,150.972135
51.03105,6,151.103914
50.881856,7,151.24244
49.798483,5,151.502017
-14.060967,6,151.872457
51.265011,6,152.018014
51.212532,6,152.227983
50.152112,5,152.317317
51.140472,7,152.451512
52.871656,6,152.578478
52.797611,6,152.703961
50.967552,6,152.819108
50.054747,5,153.011883
51.803223,6,153.178753
50.049714,5,153.27404
51.535882,6,153.476125
50.938512,6,153.585858
49.964153,5,153.68281
50.05707,5,153.919956
50.788137,7,154.164437
49.996244,5,154.307629
52.351135,6,154.513934
52.934654,6,154.635674
51.447288,7,154.864054
50.679954,5,155.023935
51.214799,6,155.161211
51.931156,6,155.297236
52.666176,6,155.41393
51.137782,6,155.636206
51.136089,6,155.84872
49.805643,5,155.990179
50.915834,6,156.112262
50.98657,7,156.347703
50.631966,5,156.590472
51.312549,7,156.830967
50.918595,6,156.943872
