#{"t_start": 1785736643.2448115, "env_id": "None"}
r,l,t
-14.611082,3,88.644456
53.190426,4,88.871926
-10.805151,4,89.18699
-7.808929,5,89.486942
-14.313566,3,89.662705
-13.567422,4,89.698765
51.503707,8,89.759199
-14.811552,3,89.795853
53.55449,4,89.979645
-13.770413,3,90.016996
-9.865563,7,90.155239
43.882465,9,90.349648
-9.930808,6,90.394707
57.773984,7,90.440797
-13.483862,3,90.60846
52.483451,4,90.81695
-13.762308,3,90.860139
53.351294,4,91.106628
-9.51621,5,91.179563
30.088232,11,91.233788
57.31755,5,91.293476
-12.416329,4,91.408644
-11.371782,4,91.50614
56.929188,5,91.577119
-15.366452,3,91.630456
-15.42723,3,91.730443
-13.496751,3,91.90467
-14.276812,3,91.951896
-14.242053,3,91.998577
-13.597564,3,92.077661
-14.317302,3,92.250998
50.839356,3,92.340996
57.121059,5,92.399254
-6.783613,6,92.500109
54.211586,4,92.645973
-14.589149,3,92.696862
-13.680386,3,92.742431
-13.496006,3,92.804762
57.167412,5,93.00303
53.25847,4,93.142393
-8.41603,5,93.259477
-11.298407,4,93.307653
-13.618798,3,93.374018
57.335383,7,93.414186
-13.537976,3,93.47067
-13.433619,8,93.92794
-8.708555,5,93.98511
58.467957,6,94.056666
51.516223,3,94.341817
-14.496791,3,94.382446
-12.573595,8,94.698152
51.577881,8,94.8951
54.184514,4,95.047383
-15.576547,3,95.100115
-8.024655,7,95.249316
-8.268129,5,95.336843
-8.246631,6,95.560925
-14.508501,3,95.628282
-12.989648,4,95.688598
-8.019464,5,95.727852
-10.800665,4,95.820719
-12.268926,4,95.865947
-13.754427,3,95.912388
-8.562059,5,95.973538
-13.591077,3,96.042494
-14.466562,3,96.08892
53.178607,4,96.217298
-8.239776,5,96.287357
37.389086,10,96.425161
55.781838,5,96.501698
-14.407273,3,96.539874
-14.599617,3,96.584458
-10.793395,4,96.897744
56.445317,5,96.961886
-14.504008,3,97.052712
-15.516791,3,97.200987
53.396725,4,97.279423
-19.048596,9,97.345059
-14.734915,3,97.385123
-14.432056,3,97.618277
-14.502502,3,97.676005
-11.092027,4,97.89925
45.951392,9,97.964808
58.364336,6,98.074702
-11.10251,4,98.232619
-12.495016,4,98.270753
57.491688,5,98.530191
57.103793,5,98.662591
-8.580025,5,98.769178
-14.501369,3,98.82823
-13.727939,3,98.864632
59.071794,6,98.908808
-34.823382,11,99.036001
-13.490387,3,99.270562
-9.961688,6,99.416202
-11.900789,4,99.537355
-13.245228,4,99.611439
53.430118,4,99.887222
-13.478409,3,99.969378
-13.492758,3,100.054153
-15.670112,3,100.113523
-14.512136,3,100.198004
-14.479734,3,100.277118
-13.696115,3,100.351579
-13.487445,3,100.68195
-9.134621,5,101.223292
-14.497441,3,101.302037
-14.223756,3,101.435252
-15.789573,3,101.519806
-14.503219,3,101.755407
-14.52591,3,101.824099
-14.725563,3,101.909136
-14.428259,3,101.987583
-8.912289,5,102.075133
-8.628367,5,102.155452
-38.791017,12,102.547383
-14.82422,3,102.629571
44.850445,9,102.7631
56.38297,5,103.099641
57.096858,6,103.325211
-14.356221,3,103.410796
-12.052508,4,103.729525
54.202096,4,104.010298
-14.45902,3,104.068824
-12.10641,4,104.433491
56.947614,5,104.511887
58.003038,6,104.589693
-14.788868,3,104.667367
57.667036,6,104.780227
-13.491062,3,104.865082
-15.196757,8,105.188512
-10.975364,7,105.297121
-13.485387,3,105.590197
53.185989,4,105.7074
57.941397,5,105.844505
-9.095595,5,106.03849
-13.738931,3,106.123697
59.089262,6,106.270873
53.905369,4,106.782998
45.32621,9,107.256542
36.931147,10,107.454714
56.523575,5,107.703349
-14.299543,3,107.969068
-14.618765,3,108.092736
-9.872504,7,108.453556
-13.780791,3,108.544245
-13.713493,3,108.619754
-14.544158,3,108.692906
50.630544,3,108.845335
52.176439,4,108.958136
-14.187939,3,109.19856
-13.546209,3,109.473818
-13.487994,3,109.620155
49.483209,3,109.920487
-13.7135,3,110.004264
-11.502437,4,110.092516
-8.950158,5,110.710797
-22.850067,9,111.408916
-15.516791,3,111.507349
-11.544192,4,111.597408
-13.78032,8,111.696434
-7.040616,5,111.774944
54.20565,4,111.866395
59.085433,6,111.967495
52.308084,4,112.215533
57.962467,5,112.332089
-11.584513,4,112.399417
-13.516049,3,112.513121
-12.02525,4,112.870309
-14.422597,3,113.14546
-14.303189,3,113.241636
-13.690871,3,113.317346
-14.546808,3,113.381022
-15.515077,3,113.621264
-13.702877,3,113.69526
-14.716933,3,113.761373
58.426443,6,113.878644
-15.229293,8,114.123708
57.954038,5,114.48511
56.419333,5,114.678179
-15.06921,3,114.944504
-15.214138,3,115.114944
-14.58399,3,115.203161
-13.491058,3,115.292455
-13.498109,3,115.366846
54.203406,4,115.543216
