#{"t_start": 1785771729.2566907, "env_id": "None"}
r,l,t
-34.155085,11,198.420681
45.746721,9,198.662355
58.254413,6,198.86
-38.44033,13,199.49088
37.846221,10,199.715234
28.119723,12,200.45609
53.14606,8,200.717115
28.223843,12,201.161587
-14.117299,8,201.527381
52.855336,8,201.728667
28.101921,12,202.134923
-34.057594,11,202.647878
37.086217,10,203.063471
-39.203792,14,203.328132
-39.461659,15,203.593349
56.920087,7,203.807704
45.932205,9,203.984156
-34.154317,11,204.359957
-38.46969,13,204.601472
37.622588,10,204.794151
28.15828,12,205.195968
58.266805,6,205.69769
28.16591,12,205.982207
31.066444,11,206.2352
-38.439587,13,206.482408
28.191687,12,207.017776
53.14498,8,207.210397
-39.10475,14,207.485293
52.994614,8,207.658731
52.952866,8,207.825634
-6.075895,6,208.591847
-38.450425,13,209.010562
53.123536,8,209.186469
52.907134,8,209.402448
37.912542,10,209.873336
57.135932,7,210.050466
31.044952,11,210.3185
-39.458722,15,210.58904
37.121514,10,210.859224
57.651307,7,211.061421
53.151878,8,211.233531
45.89953,9,211.560484
37.899733,10,211.754258
-39.20846,14,212.046329
58.248613,6,212.367901
-39.146776,14,212.616075
59.026231,6,213.026381
31.010972,11,213.221455
45.577761,9,213.395298
45.928819,9,213.602001
59.024712,6,214.023121
57.715231,5,214.486633
-28.404157,10,214.896892
45.888251,9,215.152049
57.850673,5,215.586634
-7.106544,5,216.197768
-8.057697,5,216.595893
57.844752,5,216.924483
-39.464008,15,217.190363
36.868577,10,217.551926
-38.453506,13,217.989183
28.223008,12,218.296832
-10.819514,4,218.674447
-38.445861,13,218.903427
52.373572,8,219.089178
-39.339904,15,219.363928
58.931598,6,219.631509
-7.778192,5,220.096087
26.557779,13,220.582291
57.717787,7,220.787678
53.134372,8,220.961692
-8.460627,5,221.139197
-28.585305,10,221.626445
26.565095,13,222.249041
-39.131195,14,222.499539
30.926663,11,222.844821
57.741898,5,223.014359
-11.949835,8,223.328016
-38.444448,13,223.837818
-11.091919,4,224.136388
57.544889,5,224.43881
-38.447267,13,225.103635
-7.852611,6,225.320779
30.991784,11,225.557561
31.057356,11,225.805916
-39.216314,14,226.169251
57.589498,7,226.354126
-38.433836,13,226.75945
57.725147,7,226.926734
53.17541,8,227.10429
56.562114,7,227.311694
30.920863,11,227.59353
-38.447838,17,227.833415
-7.745783,6,228.215332
-38.4536,17,228.454468
-39.116223,14,228.709496
26.565519,13,229.045176
-14.743443,8,229.451628
-38.445725,17,229.781071
-39.5529,16,230.109136
58.610155,6,230.658046
37.901,10,230.973156
56.686185,7,231.327156
-28.146726,10,231.609273
57.745836,7,231.808856
-28.425435,10,232.232561
-39.358958,17,232.567532
28.219029,12,233.088533
37.889917,10,233.30534
57.715858,7,233.471378
53.139354,8,233.723902
53.173033,8,233.944446
45.896823,9,234.138966
-38.483098,17,234.37981
-8.644873,7,234.632312
-38.459993,17,234.907222
